grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
4	474	努	7	toil	do	tsuto-meru
4	475	労	7	labor	rō	negira-u
4	476	勇	9	courage	yū	isa-mu
4	477	包	5	wrap	hō	tsutsu-mu
4	478	卒	8	graduate	sotsu	
4	479	協	8	cooperation	kyō	
4	480	単	9	simple	tan	
4	481	博	12	wide knowledge; Dr.	haku	
4	482	印	6	mark	in	shirushi
4	483	参	8	participate	san	mai-ru
4	484	史	5	history	shi	
4	485	司	5	director	shi	
4	486	各	6	each	kaku	ono-ono
4	487	告	7	tell	koku	tsu-geru
4	488	周	8	circumference	shū	mawa-ri
4	489	唱	11	chant	shō	tona-eru
4	490	喜	12	rejoice, joy	ki	yoroko-bu
4	491	器	15	container	ki	utsuwa
4	492	囲	7	surround	i	kako-u
4	493	固	8	harden	ko	kata-maru
4	494	型	9	model	kei	kata
4	495	堂	11	public chamber	dō	
4	496	塩	13	salt	en	shio
4	497	士	3	gentleman	shi	
4	498	変	9	change; strange	hen	ka-waru
4	499	夫	4	husband	fu fū bu	otto
4	500	失	5	lose	shitsu	ushina-u
4	501	好	6	like	kō	su-ku, kono-mu
4	502	季	8	seasons	ki	
4	503	孫	10	grandchild	son	mago
4	504	完	7	perfect	kan	
4	505	官	8	government official	kan	
4	506	害	10	harm	gai	
4	507	察	14	guess	satsu	
4	508	巣	11	nest	sō	su
4	509	差	10	distinction	sa	
4	510	希	7	hope	ki	mare
4	511	席	10	seat	seki	
4	512	帯	10	sash	tai	obi
4	513	底	8	bottom	tei	soko
4	514	府	8	urban prefecture	fu	
4	515	康	11	ease	kō	
4	516	建	9	build	ken	ta-teru
4	517	径	8	diameter	kei	
4	518	徒	10	junior	to	
4	519	得	11	acquire	toku	e-ru
4	520	必	5	inevitable	hitsu	kanara-zu
4	521	念	8	thought	nen	
4	522	愛	13	love	ai	
4	523	成	6	become	sei	na-ru
4	524	戦	13	war	sen	ikusa, tataka-u
4	525	折	7	fold, break	setsu	o-ru
