Country name	country_short	country_code	area	Ladder score	Standard error of ladder score	upperwhisker	lowerwhisker	high_low_rank	high_low_year	high_low_var	Logged GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Ladder score in Dystopia	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
Morocco	Morocco	MAR	Middle East and North Africa	4.903	0.061	5.023	4.783	96	2022	4.009	8.973	0.553	63.901	0.787	-0.231	0.811	1.778	1.236	0.535	0.337	0.54	0.013	0.085	2.158
Iran	Iran	IRN	Middle East and North Africa	4.876	0.053	4.98	4.772	66	2022	3.597	9.61	0.778	66.6	0.593	0.173	0.747	1.778	1.465	1.102	0.411	0.281	0.229	0.13	1.259
Senegal	Senegal	SEN	Sub-Saharan Africa	4.855	0.065	4.983	4.727	116	2022	4.432	8.155	0.629	59.999	0.772	0.011	0.846	1.778	0.943	0.727	0.231	0.519	0.142	0.06	2.234
Mauritania	Mauritania	MRT	Middle East and North Africa	4.724	0.147	5.011	4.437	134	2022	5.7	8.591	0.644	60.475	0.622	-0.013	0.657	1.778	1.099	0.764	0.244	0.32	0.13	0.195	1.973
Burkina Faso	Burkina Faso	BFA	Sub-Saharan Africa	4.638	0.093	4.819	4.456	108	2021	4.268	7.667	0.663	55.461	0.696	0.095	0.771	1.778	0.768	0.814	0.107	0.419	0.188	0.113	2.23
Namibia	Namibia	NAM	Sub-Saharan Africa	4.631	0.069	4.766	4.496	112	2022	4.355	9.121	0.787	56.851	0.669	-0.126	0.83	1.778	1.289	1.126	0.145	0.383	0.069	0.071	1.549
Turkiye	Turkey	TUR	Middle East and North Africa	4.614	0.083	4.777	4.45	98	2021	4.104	10.307	0.796	68.663	0.475	-0.077	0.795	1.778	1.714	1.148	0.467	0.125	0.095	0.096	0.969
Ghana	Ghana	GHA	Sub-Saharan Africa	4.605	0.063	4.729	4.481	94	2022	3.971	8.596	0.641	58.763	0.777	0.139	0.881	1.778	1.101	0.756	0.197	0.526	0.211	0.035	1.779
Pakistan	Pakistan	PAK	Asia-Pacific	4.555	0.077	4.707	4.404	115	2021	4.427	8.54	0.601	57.313	0.766	0.008	0.787	1.778	1.081	0.657	0.158	0.511	0.141	0.102	1.907
Niger	Niger	NER	Sub-Saharan Africa	4.501	0.108	4.712	4.291	105	2022	4.23	7.091	0.59	56.55	0.788	0.032	0.734	1.778	0.561	0.628	0.137	0.54	0.154	0.14	2.341
