Country	country_code	area	total_Average_MHQ_Score	total_pct_Distressed	total_pct_Struggling	total_pct_Enduring	total_pct_Managing	total_pct_Succeeding	total_pct_Thriving	total_Average_Cognition_Score	total_Average_Adaptability_et_Resilence_Score	total_Average_Drive_et_Motivation_Score	total_Average_Mood_et_Outlook_Score	total_Average_Social_Self_Score	total_Average_Mind-Body_Connection_Score	total_Sample_Size	f_Average_MHQ_Score	f_pct_Distressed	f_pct_Struggling	f_pct_Enduring	f_pct_Managing	f_pct_Succeeding	f_pct_Thriving	f_Average_Cognition_Score	f_Average_Adaptability_&_Resilence_Score	f_Average_Drive_&_Motivation_Score	f_Average_Mood_&_Outlook_Score	f_Average_Social_Self_Score	f_Average_Mind-Body_Connection_Score	f_Sample_Size	m_Average_MHQ_Score	m_pct_Distressed	m_pct_Struggling	m_pct_Enduring	m_pct_Managing	m_pct_Succeeding	m_pct_Thriving	m_Average_Cognition_Score	m_Average_Adaptability_&_Resilence_Score	m_Average_Drive_&_Motivation_Score	m_Average_Mood_&_Outlook_Score	m_Average_Social_Selm_Score	m_Average_Mind-Body_Connection_Score	m_Sample_Size
Cameroon	CMR	Sub-Saharan Africa	67.32	2.83	18.58	14.68	28.41	29.64	5.86	75.92	87.73	82.76	69.16	68.34	77.58	1699	62.64	3.13	21.54	13.98	28.63	27.55	5.17	74.60	89.24	76.54	61.91	63.70	70.22	914	72.13	2.53	15.55	15.40	28.18	31.78	6.56	77.28	86.18	89.15	76.61	73.11	85.15	785
Canada	CAN	North America	67.47	4.31	21.31	13.72	21.18	26.91	12.58	83.49	79.78	78.13	65.56	66.93	71.59	5980	66.39	4.59	21.75	13.20	21.22	27.19	12.06	82.86	81.78	75.75	63.55	69.10	65.73	3116	68.58	4.02	20.85	14.25	21.13	26.63	13.11	84.13	77.71	80.57	67.62	64.71	77.64	2864
Chile	CHL	Latin America and Caribbean	68.44	4.80	20.04	13.87	21.76	25.92	13.62	81.18	87.82	86.16	68.43	71.08	71.36	4898	61.89	4.95	21.60	17.25	21.78	23.27	11.16	76.35	85.87	81.00	61.45	68.75	58.75	3189	75.30	4.64	18.42	10.32	21.73	28.71	16.19	86.24	89.86	91.56	75.74	73.52	84.57	1709
Colombia	COL	Latin America and Caribbean	76.66	5.78	18.88	11.83	16.31	25.96	21.24	88.88	98.73	93.74	75.86	77.52	87.11	11992	74.10	6.37	19.42	11.90	16.08	25.79	20.44	87.25	100.52	89.43	72.71	77.94	77.74	6567	79.38	5.14	18.30	11.77	16.56	26.15	22.09	90.63	96.82	98.35	79.22	77.07	97.12	5425
Costa Rica	CRI	Middle East and North Africa	81.06	5.86	15.50	12.19	16.32	28.38	21.75	94.17	103.47	98.36	79.08	83.23	85.54	1440	70.04	8.87	17.49	13.18	15.00	26.19	19.27	83.76	97.46	85.81	69.70	77.42	69.76	718	92.17	2.83	13.49	11.20	17.65	30.58	24.24	104.67	109.53	111.01	88.53	89.09	101.43	722
Cote d'Ivoire	CIV	Sub-Saharan Africa	68.56	3.17	17.71	15.20	25.67	30.61	7.65	76.55	90.02	84.20	71.48	71.51	76.66	1490	57.90	4.15	22.20	16.45	24.56	27.75	4.89	70.63	89.14	73.17	58.32	60.22	64.22	625	78.97	2.20	13.33	13.98	26.75	33.39	10.34	82.32	90.87	94.97	84.32	82.54	88.80	865
Democratic Republic of the Congo	COD	Sub-Saharan Africa	71.36	2.85	19.18	13.27	23.63	31.73	9.33	81.01	94.04	92.36	73.40	70.67	82.51	1542	66.13	3.18	21.17	14.17	24.88	28.95	7.65	78.63	93.13	85.27	66.30	66.34	74.57	715	76.70	2.51	17.16	12.36	22.36	34.56	11.05	83.43	94.97	99.59	80.64	75.08	90.60	827
Dominican Republic	DOM	Sub-Saharan Africa	90.83	4.09	14.99	8.48	16.92	30.68	24.84	101.29	110.01	107.66	90.58	94.30	93.76	2106	85.56	5.30	17.74	8.37	13.81	30.15	24.63	100.42	109.02	103.45	84.40	89.83	83.71	1096	96.22	2.85	12.18	8.60	20.11	31.21	25.05	102.17	111.03	111.97	96.89	98.89	104.03	1010
Ecuador	ECU	Latin America and Caribbean	73.81	6.22	19.31	11.49	17.11	26.65	19.22	87.93	100.45	94.74	72.66	70.91	83.42	2902	66.90	7.49	22.36	10.31	16.65	25.74	17.45	83.50	98.21	87.77	65.72	65.71	72.34	1534	80.86	4.92	16.20	12.69	17.58	27.58	21.03	92.46	102.73	101.84	79.73	76.22	94.72	1368
Egypt	EGY	Middle East and North Africa	54.94	6.11	23.59	16.18	22.74	23.61	7.77	68.70	80.02	71.86	53.74	63.71	57.48	25761	48.84	6.27	25.93	17.03	23.51	21.86	5.40	63.58	80.35	63.37	47.15	60.80	45.32	12947	61.06	5.94	21.24	15.33	21.98	25.36	10.16	73.84	79.69	80.38	60.36	66.64	69.67	12814
El Salvador	SLV	Latin America and Caribbean	82.85	4.62	17.91	10.35	15.74	27.23	24.15	94.70	109.45	103.05	82.37	84.18	87.44	1982	76.03	6.39	18.60	11.10	15.12	25.98	22.81	90.32	107.79	95.50	75.19	81.84	73.63	819	89.39	2.93	17.26	9.62	16.34	28.42	25.43	98.90	111.03	110.28	89.24	86.42	100.65	1163
France	FRA	Western Europe	68.77	4.07	17.85	14.00	24.80	31.17	8.10	82.42	88.09	83.15	67.73	65.18	75.39	10527	65.86	4.49	18.86	13.85	24.88	30.61	7.31	79.95	87.61	80.13	64.47	64.76	68.73	7116	71.96	3.61	16.74	14.17	24.73	31.78	8.97	85.13	88.63	86.46	71.31	65.64	82.71	3411
Georgia	GEO	Eastern Europe and Central Asia	78.10	2.55	14.46	9.30	34.57	30.94	8.17	88.57	98.23	92.76	76.86	81.78	77.06	522	74.67	3.62	13.14	10.93	37.58	27.57	7.15	83.18	98.70	89.14	73.79	82.75	69.25	362	83.06	1.01	16.38	6.93	30.21	35.82	9.65	96.38	97.56	97.99	81.30	80.38	88.37	160
Germany	DEU	Western Europe	60.60	4.37	22.37	15.99	22.52	25.86	8.89	80.97	74.56	71.65	57.84	62.40	60.83	6468	58.58	4.42	23.41	16.00	22.29	25.60	8.27	80.60	74.19	69.45	54.46	64.47	53.55	3207	62.71	4.33	21.29	15.98	22.75	26.12	9.54	81.36	74.94	73.94	61.35	60.25	68.42	3261
Guatemala	GTM	Latin America and Caribbean	70.12	6.24	18.81	13.68	19.72	24.67	16.87	82.33	97.35	90.90	70.31	69.80	79.52	3401	61.33	7.38	22.16	13.65	19.19	23.71	13.92	77.69	95.12	81.89	60.26	61.67	66.48	1782	79.70	5.00	15.17	13.71	20.31	25.72	20.09	87.37	99.77	100.71	81.25	78.66	93.72	1619
Honduras	HND	Latin America and Caribbean	80.05	4.47	17.35	12.07	17.62	27.97	20.51	88.72	102.46	99.15	80.12	84.18	85.44	2451	69.34	5.91	20.31	13.92	18.21	24.75	16.89	80.74	98.87	88.04	68.55	76.33	68.07	1158	89.20	3.24	14.82	10.49	17.13	30.72	23.60	95.53	105.53	108.64	90.02	90.90	100.29	1293
